[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[resized] ledMeter1=24 24 104 365 ledMeter2=1014 24 104 365 waveform=148 16 846 703 transport=160 719 822 40
[resized] ledMeter1=24 24 104 365 ledMeter2=1014 24 104 365 waveform=148 16 847 704 transport=160 720 823 40
[resized] ledMeter1=24 24 104 366 ledMeter2=1015 24 104 366 waveform=148 16 850 705 transport=160 721 826 40
[resized] ledMeter1=24 24 104 366 ledMeter2=1018 24 104 366 waveform=148 16 854 707 transport=160 723 830 40
[resized] ledMeter1=24 24 104 367 ledMeter2=1022 24 104 367 waveform=148 16 864 711 transport=160 727 840 40
[resized] ledMeter1=24 24 104 369 ledMeter2=1032 24 104 369 waveform=148 16 877 713 transport=160 729 853 40
[resized] ledMeter1=24 24 104 370 ledMeter2=1045 24 104 370 waveform=148 16 893 715 transport=160 731 869 40
[resized] ledMeter1=24 24 104 371 ledMeter2=1061 24 104 371 waveform=148 16 899 716 transport=160 732 875 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1067 24 104 372 waveform=148 16 903 716 transport=160 732 879 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1071 24 104 372 waveform=148 16 905 716 transport=160 732 881 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1073 24 104 372 waveform=148 16 906 716 transport=160 732 882 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1074 24 104 372 waveform=148 16 907 716 transport=160 732 883 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1075 24 104 372 waveform=148 16 908 716 transport=160 732 884 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1076 24 104 372 waveform=148 16 909 716 transport=160 732 885 40
[resized] ledMeter1=24 24 104 372 ledMeter2=1077 24 104 372 waveform=148 16 921 723 transport=160 739 897 40
[resized] ledMeter1=24 24 104 375 ledMeter2=1089 24 104 375 waveform=148 16 931 728 transport=160 744 907 40
